ln,dob,gn,fn
BLAND JR,2054-08-06,F,WILLIAM
SHAFFER JR,2053-10-25,F,WILLIAM
CLARK,2044-12-16,M,JOHN
MICHAELSON JR,2047-09-04,M,BOB
BLAND JR,2062-02-21,F,BILL
GRIFFIN JR,2037-07-05,M,CLIFFORD
MICHAELSON JR,2039-06-24,M,JACK
MICHAELSON JR,2044-12-16,M,JOHN
GRIFFIN JR,2037-07-05,M,DARL
BLAND JR,2062-02-21,F,WILLIAM
CHAVAS JR,2037-07-10,M,HAROLD
CARLSON JR,2053-10-25,F,ROY
MELVIN JR,2037-07-10,M,HAROLD
BLAND JR,2053-10-25,F,WILLIAM
GRIFFIN JR,2037-07-10,M,DARH
MICHAELSON,2053-10-25,M,ROY
MICHAELSON JR,2039-06-24,M,JAMES
ASBY JR,1968-01-03,F,WILLIAM
MICHAELSON JR,2037-07-10,M,HAROLD
HOUGHTON JR,2046-01-31,M,LAWRENCE
SHAFFER JR,2062-02-21,F,WILLIAM
CLARK,2045-09-02,M,RONALD
MICHAELSON JR,2047-09-04,M,ROY
CLARK,2045-09-06,M,JOHN
MUSTAPHA JR,2037-07-10,M,HAROLD
HANNA,2034-11-24,M,ADDISON J
CAIN JR,2046-01-20,M,JOHN
MICHAELSON JR,2047-09-04,M,ROBERT
MICHAELSON JR,2051-01-05,M,ROY
FAGEN JR,2037-07-10,M,HAROLD
LIND JR,2046-01-20,M,JOHN
DUNCAN JR,2053-10-25,F,ROY
HOUGHTON JR,2037-07-10,M,HAROLD
LARSON JR,2039-09-06,M,HAROLD
FUNARO JONES,2037-06-12,F,HARRIET
FAGEN JR,2037-07-10,M,GEORGE
ROTHMEYER JR,1968-01-03,F,WILLIAM
DUNCAN JR,2053-10-25,F,THOMAS
MICHAELSON JR,2039-06-24,M,JOHN
MUSTAPHA JR,2047-11-03,M,OWEN
MICHAELSON JR,2039-09-06,M,JACK
MICHAELSON JR,2040-04-24,M,JOHN
MICHAELSON JR,2048-06-17,M,ROY
LIND JR,2046-01-31,M,LAWRENCE
LIND JR,2046-01-31,M,KENNETH
SMITH JR,2037-07-10,M,HAROLD
SMITH JR,1968-01-03,F,WILLIAM
GRIFFIN JR,2037-07-05,M,CLARENCE
GALETICH JR,2032-10-15,M,ADDISON
GRIFFIN JR,2037-10-07,M,DARL
SALTER JR,1968-01-03,F,WILLIAM
